"track_id"	"track_name"	"track_artist"	"track_popularity"	"track_album_id"	"track_album_name"	"track_album_release_date"	"playlist_name"	"playlist_id"	"playlist_genre"	"playlist_subgenre"	"danceability"	"mean_danceability"	"energy"	"key"	"loudness_db"	"mode"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo_bpm"	"duration_ms"
"3TcL0dyCMyr0kyTTc4NLgI"	"Who Says"	"Selena Gomez & The Scene"	74	"3TcL0dyCMyr0kyTTc4NLgI"	"When The Sun Goes Down"	"2011-01-01"	"Post teen pop"	"3TcL0dyCMyr0kyTTc4NLgI"	"pop"	"post-teen pop"	0.682	0.535	0.927	4	-2.915	"major"	0.0479	0.0843	2.60185777966399	0.149	0.744	101.019	195613
"0hnHoQbEQOL4YUZ4SO6xbe"	"Calling All the Monsters"	"China Anne McClain"	47	"0hnHoQbEQOL4YUZ4SO6xbe"	"Calling All The Monsters"	"2011-01-01"	"Post teen pop"	"0hnHoQbEQOL4YUZ4SO6xbe"	"pop"	"post-teen pop"	0.56	0.535	0.826	6	-5.866	"minor"	0.0976	0.00272	9.33752876250073	0.487	0.492	141.974	206676
"48qKqo6HgIG8VLN4CpYb37"	"Magic"	"Selena Gomez"	47	"48qKqo6HgIG8VLN4CpYb37"	"Wizards Of Waverly Place"	"2009-01-01"	"Post teen pop"	"48qKqo6HgIG8VLN4CpYb37"	"pop"	"post-teen pop"	0.602	0.535	0.922	11	-3.061	"minor"	0.0386	0.00632	0	0.284	0.396	104.101	169733
"4TSxpQC5oY6XBkUSLPYM6G"	"Boombox"	"Laura Marano"	47	"4TSxpQC5oY6XBkUSLPYM6G"	"Boombox"	"2016-03-11"	"Post teen pop"	"4TSxpQC5oY6XBkUSLPYM6G"	"pop"	"post-teen pop"	0.6	0.535	0.809	9	-4.982	"major"	0.164	0.0176	0	0.139	0.61	127.981	196303
"5y6pj7OeBFF0CVgZKhRbOG"	"Black Magic"	"Little Mix"	76	"5y6pj7OeBFF0CVgZKhRbOG"	"Get Weird (Deluxe)"	"2015-11-06"	"Post teen pop"	"5y6pj7OeBFF0CVgZKhRbOG"	"pop"	"post-teen pop"	0.777	0.535	0.895	4	-4.464	"major"	0.0618	0.0348	0	0.317	0.826	111.987	211773
"3vrw4MWkszWdFlCmJfpkv2"	"Por fin ya veo la luz"	"Carmen Lopez"	41	"3vrw4MWkszWdFlCmJfpkv2"	"Enredados (Rapunzel) OST"	"2011-01-01"	"Post teen pop"	"3vrw4MWkszWdFlCmJfpkv2"	"pop"	"post-teen pop"	0.31	0.535	0.167	5	-14.525	"major"	0.029	0.856	0	0.0766	0.226	98.343	224227
"0WSO4MJCg5nCW261pGQHao"	"Cuando mi vida va a comenzar"	"Carmen Lopez"	37	"0WSO4MJCg5nCW261pGQHao"	"Enredados (Rapunzel) OST"	"2011-01-01"	"Post teen pop"	"0WSO4MJCg5nCW261pGQHao"	"pop"	"post-teen pop"	0.698	0.535	0.458	4	-6.853	"major"	0.0295	0.183	0	0.0906	0.526	108.025	152333
"5AJlZB3pgR7fM3DWTeL6WT"	"El Ritmo De La Selva"	"Fernando Garcia Baro"	27	"5AJlZB3pgR7fM3DWTeL6WT"	"The Jungle Book 2 Original Soundtrack"	"2003-01-01"	"Post teen pop"	"5AJlZB3pgR7fM3DWTeL6WT"	"pop"	"post-teen pop"	0.379	0.535	0.502	10	-10.027	"minor"	0.163	0.461	0	0.557	0.759	203.425	184920
"0zqY0ttERCqwSfgzfMWMNG"	"La Bella Y La Bestia"	"Marta Martorell"	37	"0zqY0ttERCqwSfgzfMWMNG"	"La Bella y La Bestia (Edicion Especial/Banda Sonora Original)"	"2002-01-01"	"Post teen pop"	"0zqY0ttERCqwSfgzfMWMNG"	"pop"	"post-teen pop"	0.225	0.535	0.0917	5	-20.384	"minor"	0.0385	0.916	0.000914	0.153	0.152	86.34	163840
"2y8rZoB5iJBt233kASCihn"	"Introducing Me"	"Nick Jonas"	49	"2y8rZoB5iJBt233kASCihn"	"Camp Rock 2: The Final Jam"	"2010-01-01"	"Post teen pop"	"2y8rZoB5iJBt233kASCihn"	"pop"	"post-teen pop"	0.509	0.535	0.495	11	-6.073	"major"	0.0515	0.491	0	0.0773	0.684	112.893	187627
"0q6ku8ljaOYoxs80gYrW8r"	"This is Our Song"	"Demi Lovato"	44	"0q6ku8ljaOYoxs80gYrW8r"	"Camp Rock 2: The Final Jam"	"2010-01-01"	"Post teen pop"	"0q6ku8ljaOYoxs80gYrW8r"	"pop"	"post-teen pop"	0.351	0.535	0.626	7	-5.314	"major"	0.0358	0.0867	0	0.0937	0.394	129.568	178333
"6RC5tEJEye1m0ilNfzjf3K"	"Gotta Find You"	"Joe Jonas"	45	"6RC5tEJEye1m0ilNfzjf3K"	"Camp Rock OST"	"2008-01-01"	"Post teen pop"	"6RC5tEJEye1m0ilNfzjf3K"	"pop"	"post-teen pop"	0.463	0.535	0.726	11	-5.126	"major"	0.03	0.0589	0	0.0861	0.473	82.006	241867
"2JQRlt3HpTCpRvcfDsbwic"	"This Is Me"	"Demi Lovato"	50	"2JQRlt3HpTCpRvcfDsbwic"	"Camp Rock OST"	"2008-01-01"	"Post teen pop"	"2JQRlt3HpTCpRvcfDsbwic"	"pop"	"post-teen pop"	0.497	0.535	0.822	1	-2.863	"major"	0.0399	0.011	0	0.0947	0.58	90.992	189173
"6xg61PHNCLvQClEJrT9p0V"	"What it Takes"	"Aaryn Doyle"	31	"6xg61PHNCLvQClEJrT9p0V"	"Camp Rock OST"	"2008-01-01"	"Post teen pop"	"6xg61PHNCLvQClEJrT9p0V"	"pop"	"post-teen pop"	0.71	0.535	0.871	2	-6.196	"major"	0.0794	0.369	3.52e-06	0.297	0.647	100.983	161920
"0CNuwuX6yEMcQYsCnwUfaV"	"Dynamite"	"China Anne McClain"	35	"0CNuwuX6yEMcQYsCnwUfaV"	"A.N.T. Farm (Original Soundtrack)"	"2012-01-01"	"Post teen pop"	"0CNuwuX6yEMcQYsCnwUfaV"	"pop"	"post-teen pop"	0.659	0.535	0.789	6	-3.444	"major"	0.0717	0.184	0	0.0535	0.493	121.947	162960
"34iOdwktu3ZDhujxpsAqe7"	"Stuck On You"	"Nick Strand"	39	"34iOdwktu3ZDhujxpsAqe7"	"Stuck On You"	"2019-09-20"	"post-teen alternative, indie, pop (large variety)"	"34iOdwktu3ZDhujxpsAqe7"	"pop"	"post-teen pop"	0.58	0.64	0.664	1	-2.866	"minor"	0.0748	0.429	0	0.146	0.436	146.001	158467
"7vmiKOPQuGBV3Q2z3He5e9"	"Down Low"	"Astrid S"	55	"7vmiKOPQuGBV3Q2z3He5e9"	"Down Low"	"2019-09-26"	"post-teen alternative, indie, pop (large variety)"	"7vmiKOPQuGBV3Q2z3He5e9"	"pop"	"post-teen pop"	0.554	0.64	0.35	6	-5.378	"minor"	0.0287	0.799	1.39e-06	0.317	0.333	86.331	202007
"5WEAZtjEufELtaxqYcqCJg"	"Years"	"Astrid S"	69	"5WEAZtjEufELtaxqYcqCJg"	"Down Low"	"2019-09-26"	"post-teen alternative, indie, pop (large variety)"	"5WEAZtjEufELtaxqYcqCJg"	"pop"	"post-teen pop"	0.664	0.64	0.285	9	-7.907	"major"	0.0342	0.855	0	0.0952	0.256	124.148	190268
"4poybupy26pTWPr9zY1i7h"	"Some Say"	"Nea"	81	"4poybupy26pTWPr9zY1i7h"	"Some Say"	"2019-09-06"	"post-teen alternative, indie, pop (large variety)"	"4poybupy26pTWPr9zY1i7h"	"pop"	"post-teen pop"	0.779	0.64	0.342	3	-6.316	"minor"	0.0404	0.701	2.56e-06	0.132	0.482	104.993	175602
"5VGBgPVFO3e0lWz4WHYntQ"	"All For Love"	"Tungevaag & Raaban"	68	"5VGBgPVFO3e0lWz4WHYntQ"	"All For Love"	"2018-03-23"	"post-teen alternative, indie, pop (large variety)"	"5VGBgPVFO3e0lWz4WHYntQ"	"pop"	"post-teen pop"	0.689	0.64	0.901	7	-1.431	"major"	0.0678	0.145	1.03e-05	0.459	0.651	125.115	180485
"2JtuQZHQAtNO13O8KLQSxE"	"Boys Like You"	"Anna Clendening"	69	"2JtuQZHQAtNO13O8KLQSxE"	"Boys Like You"	"2018-06-01"	"post-teen alternative, indie, pop (large variety)"	"2JtuQZHQAtNO13O8KLQSxE"	"pop"	"post-teen pop"	0.664	0.64	0.607	2	-8.822	"major"	0.113	0.23	0	0.164	0.541	95.958	187349
"33NUt06BeLIeJyf4YJtGoh"	"Slow Dance (feat. Ava Max)"	"AJ Mitchell"	41	"33NUt06BeLIeJyf4YJtGoh"	"Slow Dance"	"2019-08-23"	"post-teen alternative, indie, pop (large variety)"	"33NUt06BeLIeJyf4YJtGoh"	"pop"	"post-teen pop"	0.692	0.64	0.443	1	-5.671	"major"	0.0386	0.214	0	0.06	0.363	127.899	178800
"2y8iBf0QRqCKFtePi9Rl2H"	"Why Do You Love Me"	"Charlotte Lawrence"	68	"2y8iBf0QRqCKFtePi9Rl2H"	"Why Do You Love Me"	"2019-07-19"	"post-teen alternative, indie, pop (large variety)"	"2y8iBf0QRqCKFtePi9Rl2H"	"pop"	"post-teen pop"	0.81	0.64	0.305	8	-6.165	"minor"	0.0902	0.28	0.000116	0.203	0.732	120.013	171908
"5naYe7rLMZcLfO1DKg48MK"	"All Day And Night"	"Jax Jones"	75	"5naYe7rLMZcLfO1DKg48MK"	"Snacks"	"2019-07-12"	"post-teen alternative, indie, pop (large variety)"	"5naYe7rLMZcLfO1DKg48MK"	"pop"	"post-teen pop"	0.567	0.64	0.765	1	-4.107	"minor"	0.108	0.317	0	0.14	0.541	121.924	169467
"1mJYgCniedO0tBpAGCL1vO"	"Sidelove"	"Astrid S"	54	"1mJYgCniedO0tBpAGCL1vO"	"Down Low"	"2019-09-26"	"post-teen alternative, indie, pop (large variety)"	"1mJYgCniedO0tBpAGCL1vO"	"pop"	"post-teen pop"	0.753	0.64	0.343	8	-5.607	"major"	0.0337	0.799	0	0.104	0.511	137.872	172154
"3ZCTVFBt2Brf31RLEnCkWJ"	"everything i wanted"	"Billie Eilish"	97	"3ZCTVFBt2Brf31RLEnCkWJ"	"everything i wanted"	"2019-11-13"	"post-teen alternative, indie, pop (large variety)"	"3ZCTVFBt2Brf31RLEnCkWJ"	"pop"	"post-teen pop"	0.704	0.64	0.225	6	-14.454	"minor"	0.0994	0.902	0.657	0.106	0.243	120.006	245426
"1ioqD1XvFGDomjXkKNCBQB"	"Doing To Me"	"Astrid S"	66	"1ioqD1XvFGDomjXkKNCBQB"	"Trust Issues"	"2019-08-30"	"post-teen alternative, indie, pop (large variety)"	"1ioqD1XvFGDomjXkKNCBQB"	"pop"	"post-teen pop"	0.718	0.64	0.762	0	-5.006	"minor"	0.0571	0.284	1.58e-06	0.0971	0.368	132.893	190098
"2nMeu6UenVvwUktBCpLMK9"	"Young And Beautiful"	"Lana Del Rey"	75	"2nMeu6UenVvwUktBCpLMK9"	"Young And Beautiful"	"2013-01-01"	"post-teen alternative, indie, pop (large variety)"	"2nMeu6UenVvwUktBCpLMK9"	"pop"	"post-teen pop"	0.324	0.64	0.416	11	-8.92	"minor"	0.0368	0.262	3.69e-05	0.11	0.151	113.986	236053
"2XU0oxnq2qxCpomAAuJY8K"	"Dance Monkey"	"Tones and I"	100	"2XU0oxnq2qxCpomAAuJY8K"	"Dance Monkey (Stripped Back) / Dance Monkey"	"2019-10-17"	"post-teen alternative, indie, pop (large variety)"	"2XU0oxnq2qxCpomAAuJY8K"	"pop"	"post-teen pop"	0.824	0.64	0.588	6	-6.4	"minor"	0.0924	0.692	0.000104	0.149	0.513	98.027	209438
"76bvw5EDyhm1b3dfsOToYG"	"The Kids Are Coming"	"Tones and I"	69	"76bvw5EDyhm1b3dfsOToYG"	"The Kids Are Coming"	"2019-08-29"	"post-teen alternative, indie, pop (large variety)"	"76bvw5EDyhm1b3dfsOToYG"	"pop"	"post-teen pop"	0.753	0.64	0.566	9	-8.21	"minor"	0.298	0.193	6.31e-05	0.14	0.154	135.039	204521
"7BooBD8k8ABLTFLzgxcT5G"	"Johnny Run Away"	"Tones and I"	71	"7BooBD8k8ABLTFLzgxcT5G"	"The Kids Are Coming"	"2019-08-29"	"post-teen alternative, indie, pop (large variety)"	"7BooBD8k8ABLTFLzgxcT5G"	"pop"	"post-teen pop"	0.799	0.64	0.538	2	-4.775	"major"	0.0622	0.642	1.23e-06	0.107	0.582	92.452	192346
"4kRT3cCwp0uYEqh4hHvxZS"	"Jimmy"	"Tones and I"	68	"4kRT3cCwp0uYEqh4hHvxZS"	"The Kids Are Coming"	"2019-08-29"	"post-teen alternative, indie, pop (large variety)"	"4kRT3cCwp0uYEqh4hHvxZS"	"pop"	"post-teen pop"	0.592	0.64	0.464	8	-5.956	"major"	0.0346	0.473	1.13e-06	0.125	0.182	68.11	223620
"2kJwzbxV2ppxnQoYw4GLBZ"	"If The World Was Ending (feat. Julia Michaels)"	"JP Saxe"	88	"2kJwzbxV2ppxnQoYw4GLBZ"	"If The World Was Ending (feat. Julia Michaels)"	"2019-10-17"	"post-teen alternative, indie, pop (large variety)"	"2kJwzbxV2ppxnQoYw4GLBZ"	"pop"	"post-teen pop"	0.464	0.64	0.473	1	-10.086	"major"	0.129	0.866	0	0.109	0.604	75.801	208687
"5fmBkJa4mTezkJq8B1TgSn"	"Colourblind"	"Tones and I"	67	"5fmBkJa4mTezkJq8B1TgSn"	"The Kids Are Coming"	"2019-08-29"	"post-teen alternative, indie, pop (large variety)"	"5fmBkJa4mTezkJq8B1TgSn"	"pop"	"post-teen pop"	0.493	0.64	0.154	9	-9.996	"minor"	0.0367	0.729	0	0.0747	0.115	98.38	206094
